Accident Ref.,Borough,Boro,Easting,Northing,CREFNO,Casualty Class,Casualty Sex,Casualty Age (Banded),Casualty Age,No. of Casualties,Casualty Severity,Ped. Location,Ped. Movement,Mode of Travel, 
0115PL60160,LEWISHAM,7,536550,176940,1,1 Driver/Rider,1 Male,25-59,35,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60161,LEWISHAM,7,536550,175920,1,1 Driver/Rider,1 Male,25-59,26,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60162,LEWISHAM,7,536570,176930,1,3 Pedestrian,1 Male,25-59,28,1,3 Slight,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian, 
0115PL60163,LEWISHAM,7,535880,173370,1,3 Pedestrian,2 Female,Unknown,0,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0115PL60164,LEWISHAM,7,538370,173340,1,3 Pedestrian,2 Female,0-15,8,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
0115PL60165,LEWISHAM,7,537890,174320,1,3 Pedestrian,1 Male,25-59,30,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0115PL60167,LEWISHAM,7,537890,174410,1,1 Driver/Rider,1 Male,25-59,38,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115PL60168,LEWISHAM,7,537860,175840,1,1 Driver/Rider,1 Male,16-24,21,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0115PL60170,LEWISHAM,7,537890,174160,1,1 Driver/Rider,1 Male,16-24,19,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0115PL60171,LEWISHAM,7,538170,173700,1,3 Pedestrian,1 Male,16-24,24,1,3 Slight,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian, 
0115PL60172,LEWISHAM,7,536930,176530,1,1 Driver/Rider,1 Male,25-59,30,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0115PL60173,LEWISHAM,7,535670,177450,1,1 Driver/Rider,1 Male,25-59,41,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60174,LEWISHAM,7,538620,175540,1,1 Driver/Rider,1 Male,25-59,39,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle, 
0115PL60174,LEWISHAM,7,538620,175540,2,1 Driver/Rider,2 Female,25-59,36,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60176,LEWISHAM,7,538860,174030,1,3 Pedestrian,2 Female,25-59,46,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0115PL60178,LEWISHAM,7,535320,177080,1,1 Driver/Rider,2 Female,25-59,37,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115PL60179,LEWISHAM,7,537690,173650,1,3 Pedestrian,2 Female,16-24,17,1,3 Slight,04 Crossing Road Within 50m Xing,3 From Drivers O/Side,1 Pedestrian, 
0115PL60180,LEWISHAM,7,539280,173130,2,1 Driver/Rider,2 Female,25-59,47,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60180,LEWISHAM,7,539280,173130,1,1 Driver/Rider,2 Female,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60182,LEWISHAM,7,536510,175890,1,1 Driver/Rider,1 Male,16-24,20,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60182,LEWISHAM,7,536510,175890,2,1 Driver/Rider,1 Male,16-24,21,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60185,LEWISHAM,7,539500,172290,1,1 Driver/Rider,1 Male,16-24,24,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60187,LEWISHAM,7,537750,175900,1,2 Passenger,2 Female,25-59,41,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0115PL60188,LEWISHAM,7,535350,177230,1,1 Driver/Rider,2 Female,Unknown,0,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60189,LEWISHAM,7,537890,174410,1,1 Driver/Rider,1 Male,25-59,38,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115PL60190,LEWISHAM,7,536720,176250,1,1 Driver/Rider,1 Male,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0115PL60191,LEWISHAM,7,539480,171970,1,3 Pedestrian,1 Male,0-15,8,1,3 Slight,06 On Footpath - Verge,9 Unknown Or Other,1 Pedestrian, 
0115PL60192,LEWISHAM,7,535590,172780,1,3 Pedestrian,1 Male,0-15,13,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0115PL60193,LEWISHAM,7,540580,173460,1,1 Driver/Rider,2 Female,25-59,43,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60195,LEWISHAM,7,536420,177020,1,1 Driver/Rider,1 Male,25-59,36,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115PL60196,LEWISHAM,7,536200,171520,1,1 Driver/Rider,1 Male,25-59,52,1,2 Serious,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0115PL60197,LEWISHAM,7,539610,175130,1,1 Driver/Rider,1 Male,25-59,47,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60198,LEWISHAM,7,535460,172770,1,3 Pedestrian,1 Male,0-15,12,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0115PL60199,LEWISHAM,7,536320,172660,1,2 Passenger,2 Female,25-59,38,1,2 Serious,-2 Unknown,-2 N/A,5 Taxi, 
0115PL60200,LEWISHAM,7,537850,175840,1,1 Driver/Rider,1 Male,25-59,36,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0115PL60201,LEWISHAM,7,535530,173010,1,1 Driver/Rider,1 Male,25-59,35,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115PL60202,LEWISHAM,7,537670,174940,1,3 Pedestrian,2 Female,25-59,49,1,3 Slight,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian, 
0115PL60203,LEWISHAM,7,540090,173840,1,1 Driver/Rider,1 Male,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0115PL60205,LEWISHAM,7,535400,177960,1,1 Driver/Rider,2 Female,16-24,24,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115PL60207,LEWISHAM,7,536380,171670,1,1 Driver/Rider,1 Male,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115PL60208,LEWISHAM,7,536980,177000,1,1 Driver/Rider,1 Male,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60209,LEWISHAM,7,537240,175040,1,1 Driver/Rider,2 Female,16-24,20,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60210,LEWISHAM,7,537830,172740,1,3 Pedestrian,1 Male,25-59,51,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0115PL60211,LEWISHAM,7,539470,171560,1,1 Driver/Rider,1 Male,25-59,49,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60212,LEWISHAM,7,538810,174400,1,1 Driver/Rider,1 Male,25-59,34,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115PL60214,LEWISHAM,7,536400,177000,1,1 Driver/Rider,2 Female,25-59,25,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60215,LEWISHAM,7,537930,175000,1,1 Driver/Rider,2 Female,25-59,49,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60218,LEWISHAM,7,538170,175260,1,1 Driver/Rider,1 Male,25-59,30,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0115PL60222,LEWISHAM,7,536130,173270,1,1 Driver/Rider,2 Female,Unknown,0,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115PL60232,LEWISHAM,7,538650,174300,1,1 Driver/Rider,1 Male,16-24,23,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0115PL60234,LEWISHAM,7,535990,178600,1,3 Pedestrian,1 Male,0-15,3,1,3 Slight,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian, 
0115PL60235,LEWISHAM,7,538900,171610,1,3 Pedestrian,1 Male,0-15,12,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0115PL60237,LEWISHAM,7,537470,173590,1,3 Pedestrian,2 Female,0-15,10,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0115PL60238,LEWISHAM,7,539650,175930,1,1 Driver/Rider,1 Male,25-59,51,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115PL60239,LEWISHAM,7,536980,176420,1,1 Driver/Rider,2 Female,25-59,52,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60240,LEWISHAM,7,539700,171190,1,1 Driver/Rider,1 Male,60+,61,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60241,LEWISHAM,7,540480,173990,1,1 Driver/Rider,1 Male,25-59,49,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0115PL60242,LEWISHAM,7,536750,173290,1,1 Driver/Rider,1 Male,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115PL60243,LEWISHAM,7,537890,174320,1,3 Pedestrian,1 Male,0-15,13,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0115PL60244,LEWISHAM,7,538410,173410,1,1 Driver/Rider,1 Male,16-24,20,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0115PL60245,LEWISHAM,7,537260,176210,1,1 Driver/Rider,1 Male,25-59,37,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60246,LEWISHAM,7,536850,177030,1,1 Driver/Rider,1 Male,25-59,25,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0115PL60247,LEWISHAM,7,539380,173690,1,1 Driver/Rider,2 Female,25-59,39,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60248,LEWISHAM,7,538770,175290,1,1 Driver/Rider,2 Female,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115PL60249,LEWISHAM,7,537890,174310,1,3 Pedestrian,1 Male,16-24,21,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0115PL60251,LEWISHAM,7,540060,171540,1,3 Pedestrian,2 Female,25-59,25,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0115PL60252,LEWISHAM,7,538200,175270,1,1 Driver/Rider,1 Male,Unknown,0,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60253,LEWISHAM,7,539730,176420,1,1 Driver/Rider,1 Male,25-59,51,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0115PL60254,LEWISHAM,7,537070,173730,1,1 Driver/Rider,2 Female,25-59,46,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60256,LEWISHAM,7,537890,174320,1,3 Pedestrian,1 Male,Unknown,0,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0115PL60257,LEWISHAM,7,537110,177690,1,3 Pedestrian,1 Male,25-59,37,1,2 Serious,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian, 
0115PL60258,LEWISHAM,7,538190,175810,1,1 Driver/Rider,1 Male,25-59,40,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle, 
0115PL60259,LEWISHAM,7,535790,176860,1,1 Driver/Rider,2 Female,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115PL60260,LEWISHAM,7,536820,176640,1,1 Driver/Rider,1 Male,25-59,26,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60260,LEWISHAM,7,536820,176640,2,1 Driver/Rider,2 Female,Unknown,0,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60261,LEWISHAM,7,536560,171850,1,1 Driver/Rider,1 Male,25-59,30,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0115PL60262,LEWISHAM,7,538920,171270,1,1 Driver/Rider,2 Female,Unknown,0,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60263,LEWISHAM,7,538160,171360,1,1 Driver/Rider,2 Female,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60264,LEWISHAM,7,537890,174160,1,1 Driver/Rider,1 Male,16-24,17,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0115PL60266,LEWISHAM,7,537410,177220,1,1 Driver/Rider,1 Male,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115PL60267,LEWISHAM,7,538360,171920,1,1 Driver/Rider,2 Female,16-24,20,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60268,LEWISHAM,7,536990,176450,1,3 Pedestrian,1 Male,25-59,51,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0115PL60269,LEWISHAM,7,536930,171450,1,1 Driver/Rider,2 Female,25-59,54,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60270,LEWISHAM,7,536210,174000,1,1 Driver/Rider,1 Male,60+,66,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60271,LEWISHAM,7,537970,174250,1,1 Driver/Rider,2 Female,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60272,LEWISHAM,7,535750,173290,1,3 Pedestrian,1 Male,25-59,52,1,3 Slight,09 In Road - Not Crossing,8 In Rd Back To Traffic,1 Pedestrian, 
0115PL60273,LEWISHAM,7,537180,176950,1,1 Driver/Rider,1 Male,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0115PL60274,LEWISHAM,7,537330,176910,1,2 Passenger,2 Female,0-15,4,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0115PL60275,LEWISHAM,7,536910,173040,1,1 Driver/Rider,1 Male,16-24,17,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60277,LEWISHAM,7,537350,171630,1,3 Pedestrian,2 Female,16-24,18,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0115PL60278,LEWISHAM,7,536270,172210,1,1 Driver/Rider,1 Male,25-59,38,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115PL60279,LEWISHAM,7,537870,174090,1,1 Driver/Rider,1 Male,16-24,23,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60280,LEWISHAM,7,536120,176890,1,2 Passenger,2 Female,0-15,3,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60282,LEWISHAM,7,537780,172870,1,1 Driver/Rider,1 Male,25-59,30,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115PL60283,LEWISHAM,7,538370,175590,1,3 Pedestrian,1 Male,25-59,31,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0115PL60284,LEWISHAM,7,535910,177240,1,1 Driver/Rider,1 Male,25-59,43,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115PL60285,LEWISHAM,7,536710,176960,1,1 Driver/Rider,1 Male,25-59,47,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0115PL60287,LEWISHAM,7,536730,171740,1,1 Driver/Rider,1 Male,25-59,32,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60288,LEWISHAM,7,535730,176950,1,1 Driver/Rider,1 Male,25-59,33,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115PL60292,LEWISHAM,7,538030,174910,1,1 Driver/Rider,1 Male,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60293,LEWISHAM,7,538630,175450,1,1 Driver/Rider,1 Male,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115PL60294,LEWISHAM,7,535710,178640,1,1 Driver/Rider,2 Female,25-59,37,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60295,LEWISHAM,7,537770,173830,1,1 Driver/Rider,1 Male,16-24,19,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60296,LEWISHAM,7,536510,175910,1,1 Driver/Rider,1 Male,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60297,LEWISHAM,7,536420,177010,1,3 Pedestrian,1 Male,60+,79,1,3 Slight,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian, 
0115PL60298,LEWISHAM,7,536800,172940,1,3 Pedestrian,2 Female,Unknown,0,1,3 Slight,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian, 
0115PL60299,LEWISHAM,7,536770,173290,1,3 Pedestrian,1 Male,25-59,33,1,3 Slight,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian, 
0115PL60300,LEWISHAM,7,537880,174150,1,1 Driver/Rider,1 Male,25-59,26,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0115PL60301,LEWISHAM,7,537550,173880,1,1 Driver/Rider,1 Male,16-24,20,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60302,LEWISHAM,7,537280,176200,1,1 Driver/Rider,2 Female,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115PL60304,LEWISHAM,7,536680,175200,1,3 Pedestrian,2 Female,60+,73,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0115PL60306,LEWISHAM,7,535250,171560,1,1 Driver/Rider,1 Male,25-59,51,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115PL60307,LEWISHAM,7,536000,176850,1,1 Driver/Rider,1 Male,25-59,25,1,2 Serious,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0115PL60308,LEWISHAM,7,540780,172230,1,1 Driver/Rider,1 Male,25-59,41,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60309,LEWISHAM,7,536130,176890,1,1 Driver/Rider,2 Female,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60310,LEWISHAM,7,535200,171570,1,2 Passenger,2 Female,25-59,57,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0115PL60311,LEWISHAM,7,534910,171370,1,2 Passenger,2 Female,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60311,LEWISHAM,7,534910,171370,2,2 Passenger,1 Male,25-59,59,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60312,LEWISHAM,7,537680,173050,1,1 Driver/Rider,1 Male,25-59,25,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0115PL60313,LEWISHAM,7,539710,175000,1,3 Pedestrian,1 Male,25-59,29,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
0115PL60314,LEWISHAM,7,536440,178250,1,1 Driver/Rider,2 Female,Unknown,0,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115PL60317,LEWISHAM,7,536490,174540,1,1 Driver/Rider,1 Male,Unknown,0,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115PL60318,LEWISHAM,7,538220,171810,1,1 Driver/Rider,1 Male,Unknown,0,1,2 Serious,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0115PL60319,LEWISHAM,7,536490,175690,1,3 Pedestrian,2 Female,16-24,16,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0115PL60320,LEWISHAM,7,538250,175980,1,1 Driver/Rider,1 Male,16-24,22,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60321,LEWISHAM,7,538670,175510,1,1 Driver/Rider,1 Male,25-59,36,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60321,LEWISHAM,7,538670,175510,2,2 Passenger,1 Male,25-59,25,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60323,LEWISHAM,7,536290,176960,1,1 Driver/Rider,1 Male,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0115PL60324,LEWISHAM,7,537940,174710,1,1 Driver/Rider,2 Female,Unknown,0,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0115PL60325,LEWISHAM,7,535670,173800,2,1 Driver/Rider,1 Male,25-59,45,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle, 
0115PL60325,LEWISHAM,7,535670,173800,1,1 Driver/Rider,1 Male,Unknown,0,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60326,LEWISHAM,7,536150,171480,1,3 Pedestrian,1 Male,Unknown,0,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0115PL60327,LEWISHAM,7,534720,172890,1,2 Passenger,2 Female,25-59,50,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60328,LEWISHAM,7,538130,175060,1,1 Driver/Rider,2 Female,25-59,35,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60329,LEWISHAM,7,538210,175780,1,1 Driver/Rider,1 Male,16-24,18,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0115PL60330,LEWISHAM,7,538030,171210,1,1 Driver/Rider,1 Male,16-24,21,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0115PL60331,LEWISHAM,7,540070,171750,1,3 Pedestrian,1 Male,60+,78,1,3 Slight,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian, 
0115PL60332,LEWISHAM,7,537890,174250,1,1 Driver/Rider,2 Female,25-59,51,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60332,LEWISHAM,7,537890,174250,2,1 Driver/Rider,1 Male,16-24,18,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60333,LEWISHAM,7,535640,177050,1,1 Driver/Rider,1 Male,16-24,23,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0115PL60334,LEWISHAM,7,535050,171870,1,3 Pedestrian,2 Female,Unknown,0,1,2 Serious,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0115PL60335,LEWISHAM,7,535850,178610,1,1 Driver/Rider,1 Male,25-59,48,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115PL60336,LEWISHAM,7,537810,173920,1,1 Driver/Rider,1 Male,25-59,46,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115PL60336,LEWISHAM,7,537810,173920,2,3 Pedestrian,2 Female,0-15,10,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
0115PL60337,LEWISHAM,7,537780,173870,1,3 Pedestrian,2 Female,60+,60,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0115PL60338,LEWISHAM,7,540600,172360,1,1 Driver/Rider,1 Male,16-24,19,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115PL60339,LEWISHAM,7,536930,171700,1,1 Driver/Rider,1 Male,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0115PL60340,LEWISHAM,7,537060,173140,1,1 Driver/Rider,2 Female,25-59,38,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0115PL60341,LEWISHAM,7,539480,171970,1,1 Driver/Rider,1 Male,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0115PL60342,LEWISHAM,7,538940,171400,1,1 Driver/Rider,1 Male,25-59,53,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60345,LEWISHAM,7,540490,173260,1,1 Driver/Rider,1 Male,25-59,54,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60346,LEWISHAM,7,540100,173830,1,1 Driver/Rider,1 Male,25-59,45,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60350,LEWISHAM,7,538300,175660,1,3 Pedestrian,2 Female,25-59,41,1,2 Serious,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian, 
0115PL60352,LEWISHAM,7,541190,172370,1,1 Driver/Rider,1 Male,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60353,LEWISHAM,7,537780,173860,1,1 Driver/Rider,1 Male,25-59,43,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
0115PL60354,LEWISHAM,7,540340,172890,1,1 Driver/Rider,1 Male,25-59,54,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0115PL60355,LEWISHAM,7,538740,175140,1,1 Driver/Rider,1 Male,25-59,30,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0115PL60356,LEWISHAM,7,536670,172470,1,1 Driver/Rider,1 Male,25-59,33,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115PL60357,LEWISHAM,7,539540,173740,1,1 Driver/Rider,1 Male,16-24,20,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60358,LEWISHAM,7,538220,175820,1,1 Driver/Rider,2 Female,16-24,19,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60359,LEWISHAM,7,537140,177670,1,1 Driver/Rider,1 Male,25-59,32,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0115PL60360,LEWISHAM,7,537280,176210,1,3 Pedestrian,1 Male,0-15,5,1,3 Slight,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian, 
0115PL60361,LEWISHAM,7,538490,175380,1,2 Passenger,1 Male,0-15,13,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60361,LEWISHAM,7,538490,175380,2,2 Passenger,2 Female,0-15,10,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60362,LEWISHAM,7,537850,172610,1,1 Driver/Rider,1 Male,60+,75,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0115PL60363,LEWISHAM,7,536020,177970,2,2 Passenger,2 Female,60+,81,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
0115PL60363,LEWISHAM,7,536020,177970,1,2 Passenger,2 Female,25-59,53,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
0115PL60364,LEWISHAM,7,539460,175210,1,1 Driver/Rider,1 Male,25-59,42,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
